Month,Date,value,source,indicator_id,unit,preferred_direction,description,monthly_change,yoy_change
2021-11,2021-11-30,72.3,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-4.36507936507936,17.179902755267417
2021-12,2021-12-31,65.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-10.096818810511754,-3.9881831610044327
2022-01,2022-01-31,64.6,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-0.6153846153846287,-5.278592375366586
2022-02,2022-02-28,66.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.3219814241486114,-8.194444444444448
2022-03,2022-03-31,65.4,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-1.0590015128592922,-14.732724902216422
2022-04,2022-04-30,67.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.752293577981657,-10.399999999999999
2022-05,2022-05-31,65.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-2.2321428571428603,-16.624365482233493
2022-06,2022-06-30,57.3,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-12.785388127853892,-23.7017310252996
2022-07,2022-07-31,55.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-3.6649214659685736,-23.862068965517235
2022-08,2022-08-31,55.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-0.18115942028985588,-20.833333333333325
2022-09,2022-09-30,52.4,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-4.90018148820327,-28.610354223433255
2022-10,2022-10-31,46.8,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-10.687022900763365,-38.095238095238095
2022-11,2022-11-30,47.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",0.8547008547008739,-34.716459197786996
2022-12,2022-12-31,45.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-4.449152542372881,-30.61538461538461
2023-01,2023-01-31,45.6,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",1.1086474501108556,-29.411764705882348
2023-02,2023-02-28,45.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-0.877192982456132,-31.618759455370636
2023-03,2023-03-31,44.8,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-0.8849557522124019,-31.498470948012248
2023-04,2023-04-30,44.6,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-0.44642857142855874,-33.63095238095239
2023-05,2023-05-31,43.5,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-2.4663677130044914,-33.789954337899545
2023-06,2023-06-30,45.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",5.057471264367819,-20.244328097731234
2023-07,2023-07-31,46.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",0.8752735229759168,-16.48550724637682
2023-08,2023-08-31,48.6,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",5.422993492407802,-11.796733212341193
2023-09,2023-09-30,46.4,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-4.526748971193417,-11.45038167938931
2023-10,2023-10-31,47.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.80172413793105,1.9230769230769384
2023-11,2023-11-30,46.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-3.1446540880503138,-2.1186440677966045
2023-12,2023-12-31,47.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",1.7316017316017174,4.212860310421274
2024-01,2024-01-31,49.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",4.468085106382991,7.675438596491224
2024-02,2024-02-29,50.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.0366598778004175,10.84070796460177
2024-03,2024-03-31,49.9,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-0.3992015968063978,11.38392857142858
2024-04,2024-04-30,48.9,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-2.004008016032066,9.641255605381161
2024-05,2024-05-31,48.9,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",0.0,12.413793103448278
2024-06,2024-06-30,49.8,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",1.8404907975460016,8.97155361050328
2024-07,2024-07-31,52.6,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",5.622489959839361,14.099783080260298
2024-08,2024-08-31,50.5,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-3.992395437262364,3.9094650205761194
2024-09,2024-09-30,52.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",3.3663366336633693,12.5
2024-10,2024-10-31,52.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-0.3831417624521105,9.014675052410892
2024-11,2024-11-30,48.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-6.346153846153846,5.4112554112554
2024-12,2024-12-31,50.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.8747433264886935,6.595744680851068
2025-01,2025-01-31,50.9,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",1.5968063872255467,3.665987780040725
2025-02,2025-02-28,54.5,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",7.072691552062871,8.782435129740506
2025-03,2025-03-31,53.5,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-1.834862385321101,7.214428857715438
