Date,value,lower_ci,upper_ci,source,indicator_id,unit,preferred_direction,description
2025-03-31,217.71807243040914,211.54459476768758,223.8915500931307,explosives - FORECAST,explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components
2025-04-30,218.63438435901548,212.46090669629393,224.80786202173704,explosives - FORECAST,explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components
2025-05-31,218.9780070902105,212.80452942748894,225.15148475293205,explosives - FORECAST,explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components
2025-06-30,218.6337101781275,212.46023251540595,224.80718784084905,explosives - FORECAST,explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components
2025-07-31,217.6705906897737,211.49711302705214,223.84406835249524,explosives - FORECAST,explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components
2025-08-31,216.32355870172614,210.1500810390046,222.4970363644477,explosives - FORECAST,explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components
