Date,value,lower_ci,upper_ci,source,indicator_id,unit,preferred_direction,description
2025-03-31,273.92673425773694,269.96519094699033,277.88827756848355,cement_ready_mix - FORECAST,cement_ready_mix,Index,down,Composite cost index for Cement and Ready-Mix based on weighted BLS PPI components
2025-04-30,273.8162195966186,269.854676285872,277.77776290736523,cement_ready_mix - FORECAST,cement_ready_mix,Index,down,Composite cost index for Cement and Ready-Mix based on weighted BLS PPI components
2025-05-31,273.851454354972,269.8899110442254,277.8129976657186,cement_ready_mix - FORECAST,cement_ready_mix,Index,down,Composite cost index for Cement and Ready-Mix based on weighted BLS PPI components
2025-06-30,274.3588265512146,270.39728324046797,278.3203698619612,cement_ready_mix - FORECAST,cement_ready_mix,Index,down,Composite cost index for Cement and Ready-Mix based on weighted BLS PPI components
2025-07-31,275.5382153585646,271.576672047818,279.49975866931123,cement_ready_mix - FORECAST,cement_ready_mix,Index,down,Composite cost index for Cement and Ready-Mix based on weighted BLS PPI components
2025-08-31,277.4094336419942,273.4478903312476,281.3709769527408,cement_ready_mix - FORECAST,cement_ready_mix,Index,down,Composite cost index for Cement and Ready-Mix based on weighted BLS PPI components
